,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Fam189b,0.273062591617178,-0.486948935499888,0.019,0.026,1
Hist1h1e,0.27306578138994,-0.69125880022,0.021,0.029,1
Btk,0.273206786863646,0.0208887489803209,0.222,0.197,1
Cmip,0.273224938542748,-0.0402891150541491,0.77,0.773,1
Mcm9,0.273626409761156,0.200088855882815,0.109,0.094,1
Agap2,0.273691133986039,0.520680273941005,0.02,0.014,1
Vil1,0.27374290416537,-0.285310201656499,0.01,0.016,1
Mettl15,0.273758359971513,0.377658934408754,0.039,0.03,1
Pik3cd,0.273836643471995,0.174570121870072,0.272,0.247,1
Cdk2,0.273837852573572,-0.846884517405006,0.035,0.043,1
Sgcb,0.273885821158243,0.137630356980059,0.094,0.079,1
Asap2,0.274000082013327,0.377451098578818,0.047,0.037,1
Dlc1,0.274228329846729,1.22115336744373,0.019,0.013,1
Haus6,0.274260001985752,0.416642968718606,0.035,0.026,1
2300009A05Rik,0.274436882019697,0.13201335697137,0.119,0.103,1
Atp5g2,0.274466679622602,0.064292922764515,0.857,0.849,1
As3mt,0.27453171482996,0.15884714058621,0.182,0.16,1
Usp47,0.274590077588582,0.19916520720521,0.213,0.195,1
Rgp1,0.274622315633869,0.670465640307754,0.027,0.02,1
Cog3,0.274739006666146,0.125002800387867,0.051,0.041,1
Ehmt1,0.274871715469887,0.00972408874511821,0.165,0.143,1
Minpp1,0.274883692734725,0.214107280325998,0.081,0.069,1
Chid1,0.274933933019083,0.0430228546229414,0.08,0.066,1
Tnfaip8l1,0.275038080460956,-0.552924006173565,0.031,0.04,1
Nucb2,0.275444625253378,-0.13164940371494,0.331,0.352,1
Cope,0.275449673733252,0.108956149049495,0.442,0.412,1
Lrrfip1,0.275456187345005,-0.04046333415283,0.644,0.652,1
Kyat3,0.275500334613307,0.529479122947795,0.01,0.016,1
Cfl2,0.27570606544157,0.192066191101888,0.115,0.099,1
Sgk3,0.275765735398824,0.0299440944018435,0.339,0.309,1
Gstp2,0.275872804809765,0.101999637991753,0.035,0.026,1
Adgrl2,0.276128788931166,-0.948473416926222,0.016,0.022,1
Pgghg,0.276213693049272,0.193302305133161,0.074,0.061,1
Gas2,0.27622074624219,-1.12228702738363,0.006,0.01,1
Prrc1,0.276300821401666,-0.34353363949677,0.099,0.112,1
Armc10,0.276543402923793,0.15435782430646,0.07,0.058,1
Bend6,0.276679915958659,-0.190742467402453,0.171,0.188,1
Bcl3,0.276839744613879,-0.12912913729299,0.335,0.353,1
Slc25a5,0.276974547079322,0.0338480041131739,0.758,0.732,1
Cacna1f,0.276977425385361,0.213955919797429,0.049,0.039,1
Spast,0.276990630854485,0.00555826508679313,0.179,0.156,1
Plin2,0.277042423240982,0.0653361428270878,0.626,0.634,1
Trim7,0.277238527635846,-0.592259114028903,0.021,0.029,1
Mtmr7,0.277349246640968,-0.256334964931555,0.02,0.014,1
Klhl35,0.277454534791552,-0.838847102153307,0.006,0.01,1
Cd81,0.27745528138486,0.029880714390154,0.967,0.983,1
Dazap2,0.277457792279144,0.0641314216432738,0.765,0.74,1
Tm9sf1,0.277479730192075,0.766240844145932,0.019,0.013,1
Sptlc1,0.277630193109923,-0.0316360956896036,0.151,0.131,1
Efcab8,0.277704833410299,-0.600664063974031,0.021,0.029,1
Snapc2,0.277709672960483,0.135163445403971,0.02,0.014,1
Cux1,0.277807599327523,0.034107170489186,0.608,0.558,1
Armc2,0.277822694382994,0.577466563020234,0.027,0.02,1
Cystm1,0.277877761543146,0.384242597329086,0.033,0.025,1
Mtmr3,0.277951091701835,-0.0583303699531859,0.253,0.269,1
Pex16,0.278272822005056,0.169448070857558,0.105,0.09,1
Dlg4,0.278428014464913,0.27692048241424,0.033,0.025,1
Taf9b,0.278431475878151,0.229377382869814,0.02,0.014,1
Cuedc1,0.278646041072497,-0.319721385713142,0.027,0.035,1
Cubn,0.278650482606134,-0.136543241908103,0.069,0.083,1
Calr,0.278703994106988,0.0426927298428392,0.913,0.899,1
Smap2,0.278794821638199,-0.17521153956236,0.403,0.409,1
Gm14327,0.278898692379449,-0.751439488890711,0.006,0.01,1
Cab39l,0.279134122681074,0.212277845706425,0.165,0.148,1
Rybp,0.279285463751326,-0.0332724308496775,0.314,0.33,1
Dhx29,0.27949322247434,0.029281048986332,0.068,0.056,1
